абажур|lampshade
осина|asp
оскорбительный|abusive
оскорбление достоинства|impairment of dignity
оскорбление|affront
оскорблять|insult
ослаблять|impair
ослаблять|relax
ослаблять|weaken
осложнять|complicate
осмотр достопримечательностей|sightseeing
осмотр и обыск|visit and search
осмотр|survey
основа, основание; базис|base
основание, основа, фонд|foundation
основание|basis
основание|substrate
основанный на договоре|sounding on contract
основанный, основал|founded
основательно|substantially
основная память|primary storage
основная тема рекламы|advertising theme
основная часть|bulk
основное занятие|primary occupation
основное разрешение|base entitlement
основной должник|primary debtor
основной закон|fundamental law
основной закон|organic law
основной иск|original claim
основной капитал|fix assets
основной капитал|fixed capital
основной момент, выдвигать на первый план|highlight
основной подоходный налог|standard rate
основной принцип|keynote
основной рабочий|direct worker
основной фонд|capital fund
основной, фундаментальный|fundamental
основной, элементарный|basic
основные квоты|basic ceiling amounts
основные права|primary rights
основные предметы торговли|staple commodities
основные средства|capital goods
основывать, учреждать|found
особая ценность|extrinsic value
особенная часть|special part
особенно, в особенности, главным образом|especially
особенно|particularly
особенно|specially
особенный|peculiar
особое производство|special proceedings
особый|particular
особь женского пола|female
оспаривание иска|litiscontestation
оспаривать иск|meet claim
оспаривать требование|contest a claim
оспоримый|voidable
оставил решение в силе|left the decision standing
оставление на свободе|leave at large
оставление под стражей|remand in custody
оставлять решение в силе|leave the decision standing
оставлять|quit, quit, quit
оставляющий решение в силе|leaving the decision standing
оставшаяся часть, остальные|the rest
остается|remains
остался нерешенным|stood over
остановил|halted
остановились (от stop)|stopped
остановить такси|to hail a taxi
остановиться (в гостинице)|to stay
остановка, бездействие|standstill
остановка, останавливать|halt
остановка, перестать, остановиться|stop
остановки (от stop)|stops
остаток в наличии, кассовая наличность|balance in hand
остаток суммы|balance sum
остаток|remainder
остаточный|residual
остаться|remain
остающийся открытым|remaining in abeyance
остающийся, живущий (от stay)|staying
остающийся|remaining
осторожно|beware
осторожно|softly
осторожно|with care
осторожность|caution
осторожный|cautions
острие, заострять|edge
острием|edgeways
остров|island
острый, проницательный|acute
острый|hot
осуждать, приговаривать|condemn
осуждать, разоблачать|denounce
осуждение, убеждение, убежденность|conviction
осуждение|censure
осужденный расточитель|adjudicated prodigal
осужденный|convicted inmate
осуществил, реализовал|implemented
осуществимый|feasible
осуществимый|practicable
осуществление, выполнение|implementation
осуществление|making
осуществлять индустриализацию|industrialize
осуществлять, выполнять|implement
осуществлять|exert
осьминоги|octopus
осязаемый|tangible
от имени|on behalf of
от, из|from
отбивная (котлета) (=cutlet)|chop
отбивная котлета (=chop)|cutlet
отбирать|select
отбор проб|sampling
отбор|selection
отборный|selective
отборщик|selector
отбрасывать|discard
отварной|boiled
отвезти в|to take to
отверстия|holes
отвертка|screwdriver
ответил (от answer)|answered
ответная сторона|respondent party
ответственность за чужую вину|vicarious liability
ответственность по суду|legal liability
ответственность судей|judicial responsibility
ответственность третьей стороны|third-party liability
ответственность, подотчетность|responsibility
ответственность|accountability
ответственный|accountable
ответственный|responsible
ответчик, обвиняемый|defendant
ответчик|libelee
ответчик|respondent
ответы|responses
отвечать за что-либо|be responsible for
отвечать стандарту|be up to standard
отвечать чьим-л. требованиям|meet one's requirements
отвечать, ответ|answer
отвечать|reply
отвод земельных площадей|acreage allotment
отвод по конкретному основанию|challenge for cause
отвод по неподсудности|challenge of jurisdiction
отвозить|to take
отгадывать|guess
отгрузка досрочная|prior shipment
отгрузка, партия товара|shipment
отгрузки (от shipment)|shipments
отдавать в залог|pawn
отдавать|render
отдаленный, дальний|distant
отдаленный, дистанционный|remote
отдел госконтроля|state inspectorate
отдел женского нижнего белья|lingerie
отдел женской одежды|women's clothing department
отдел закупок|purchasing office
отдел записи актов гражданского состояния|bureau of civil registration
отдел книги по искусству|art department
отдел мужской одежды|men's clothing department
отдел научной книги|science department
отдел рекламаций|complaints department
отдел, филиал, деление|division
отдел, цех, магазин|department
отделение, разделение|separation
отделы, отделения (от department)|departments
отдельная партия (изделий)|job lot
отдельно|aside
отдельные предметы|items
отдельный, частный, личность|individual
отделять|separate
отдыхал (от rest)|rested
отдыхать, лежать|rest
отдыхающий|holidaymaker
отдыхающий|holiday-maker
отель, гостиница|hotel
отец|father
отечественное производство|domestic production
отзывать, менять|revoke
отзывной|pecarious
отзывный|revocable
отказ в правосудии|denial of justice
отказ от иммунитета|waiver of immunity
отказ|refusal
отказ|rejection
отказ|relinquishment
отказался (от refuse)|refused
отказался от обязанностей|laid down duties
отказался|rejected
отказывать, отвергать|reject
отказывать|disallow
отказываться от права|drop a right
отказываться от|waive
отказываться, покидать, прекращать|abandon
отказываться|refuse
отказываться|withhold
отказывающийся от обязанностей|laying down duties
отклонение иска|nonsuit
отклонение от норм поведения|deviant behavior
отклонил возражение|overruled exception
отклонил|dismissed
отклонить иск|defeat the claim
отклонять апелляцию|dismiss an appeal
отклонять возражение|overrule exception
отклонять|divert
отклоняться|deviate
отклоняющийся (от drift away)|drifting away
откровенно|frankly
открывать, делать открытие|discover
открывать, обнаруживать|detect
открывать; разоблачать, обнаруживать, показывать|reveal
открыл, открытый (от open)|opened
открытая кража|open larceny
открытие, обнаружение|detection
открытие|discovery
открытие|opening
открытие|revelation
открытка с видом|picture postcard
открыто|openly
открытое судебное заседание|proceeding in open court
открытый рынок|open market
открытый счет|open account
открытый, открывать|open
отлагательный|suspensive
отличается|differs
отличаться|differ
отличительный, разница в оплате труда|differential
отличный, превосходный|swell
отложен (от delay)|delayed
Отложенный вызов и Ждущий вызов|Call Holding and Call Waiting
Отложить вызов|Hold Call
отлучение от церкви|excommencement
отмена, изъятие|withdrawal
отмена|abolition
отмена|supersession
Отменить все функции Переадресации|Cancel All Diverting
отменить налоги|abolish taxes
отменять|abolish
отменять|unmake
отмеченный, обозначенный|labelled
отмеченный, отметил|pointed
отнимающий много времени, длительный|time-consuming
относительно, касательно|concerning
относительно, сравнительно|relatively
относиться, иметь отношение|relate to
относиться, связывать|relate
относящийся к рождению|natal
относящийся к средним слоям общества|middle-class
относящийся к существу дела|issuable
отношение, положение|attitude
отношение, связь|relation
отношения, связи (от relation)|relations
отождествление|identification
отождествленный, склеенный|identified
отождествлять|identify
отомстил|had revenge
отопление|heating
отпечаток пальца|fingerprint
отпечаток пальцев|finger-print
отправил правосудие|administered law
отправитель|sender
отправить письмо|to post a letter
отправление (от departure)|departures
отправление правосудия|administration of justice
отправление правосудия|administration of law
отправлять правосудие|administer law
отправлять|dispatch
отправляться|to depart
отпускать, распускать, увольнять|dismiss
отработочная рента|rent in time
отражать|reflect
отражающий|reflecting
отрасли (от branch)|branches
отрасль|branch
отрасль|offshoot
отрицание, опровержение|denial
отрицание|repudiation
отрицательно|negatively
отрицать, отвергать|deny
отскакивать|bounce
отслеживание, мониторинг|tracing
Отсоединить ждущий вызов|Reject Waiting Call
отсроченные поступления|deferred income
отсроченный, отложенный|deferred
отсрочивать|postpone
отсрочить|adjourn
отсрочка исполнения приговора|suspension of sentence
отсрочка, задержка, опоздание|delay
отсрочка, перерыв|adjournment
отсрочка|postponement
отставать от графика|behind schedule
отставка|retirement
отставной|retired
отстаивать, защищать|advocate
отсуждать|adjude
отсутствие выбора|Hobson's choice
отсутствие дискриминации при найме|fair employment practice
отсутствие доказательств|failure of evidence
отсутствие завещания|intestacy
отсутствие обратной силы|non-retroactivity
отсутствие права|ineligibility
отсутствие судимости|clean record
отсутствие|absence
отсутствовать|be absent
отсутствовать|be out
отсутствующий|absent
отсутствующий|missing
отсылать, ссылаться|refer
оттенки (от shade)|shades
оттепель|thaw
отформатированный|formatted
отход, отплытие|sailing
отход, отрыв|breakaway
отходы производства, металлолом|scrap
отчаяние|despair
отчаянно, безнадежно|desperately
отчаянный, безнадежный|desperate
отчет сводный|consolidated report
отчетливо произносить|articulate
отчетливо|distinctly
отчетность бухгалтерская|accounts
отчетность предприятий|reports of enterprises
отчетный год|accounting year
отчим|stepfather
отчисления (от allocation)|allocations
отчисления комиссионные|commissions
отчислять|remand
отчуждать|alienate
отъезд, уход|departure
официальная аппеляция|formal appeal
официальная отметка|official mark
официально|officially
официальное расследование|formal inquiry
официальное сообщение|communique
официальное сообщение|official communication
официальный дилер|authorised dealer
официальный дилер|authorized dealer
официальный протест|formal protest
официальный язык|official language
официальный, чиновник|official
официант|waiter
оформление полномочий|issue of full powers
охарактеризованный, обозначенный|marked
охват, репортаж|coverage
охватывать, заключать в себе|encompass
охлаждение|cooling
охота (отдел)|hunting equipment
охота, охотиться|hunt
охота|hunting
охотнее (от soon)|sooner
охотно|readily
охотно|willingly
охрана прав потребителей|consumer's right protection
охрана природы|nature conservation
охрана, охранять|guard
охрана|escort
охранительные меры|conservation measures
охранная зона|conservation zone
охраняемый|guarded
охраняемый|protected
охранять, акцептовать (тратту)|protect
охранять, ограждать|safeguard
оценивать; определять количество|evaluate
оценивать|appraise
оценивать|appreciate
оценка банковская|bank estimates
оценка вклада|evaluation of a contribution
оценка стоимости имущества, экспертиза, оценка|appraisal
оценка стоимостная|cost estimate
оценка характеристики и степени ущерба|damage assessment
оценка, определение стоимости|rating
оценка, определение ценности|valuation
оценка, смета|estimate
оценка|assessment
оценка|evaluation
оценки (от mark)|marks
оценочная комиссия|evaluation commission
оценочная собственность|assessed property
оценщик официальный|qualified appraiser
очаровал (от fascinate)|fascinated
очаровывать|fascinate
очевидно|evidently
очевидно|obviously
очевидный факт|patent fact
очевидный, явный, ясный|obvious
очевидный, ясный, как день|plain as a pikestaff
очевидный|apparent
очевидный|evident
очевидный|visible
очень большой|extra-large
очень горячий|piping hot
очень, весьма|greatly
очень, тот самый|very
очередное собрание|regular meeting
очередной взнос|instalment
очередность признания наследников по закону|order of priority of statutory heirs
очередные выборы|regular election
очередь за пособием по безработице|bread line
очередь|queue
очерк, эскиз, обрисовать|outline
очиститель ветрового стекла|windshield wiper
очистка|clearance
очищать|brighten
очищать|refine
очищающий|cleansing
очки|glasses
очко|ace
очутиться|find oneself
ошеломил (от knock down with a feather)|knocked down with a feather
ошибка в праве|mistake of law
ошибка в расчете|miscalculation
ошибка в судопроизводстве|error apparent of record
ошибка в фактах|error in fact
ошибка в факте|mistake of fact
ошибка|error
ошибка|mistake
ошибки|errors
ошибочное предположение|mistake belief
ошибочный (от mistake)|mistaken
ошибочный, неправильный, не тот|wrong
пaрaметр|parameter
пaрaметры, режимы|options
пaрaметры|parameters
павильон|pavilion
павлин|peacock
пагода|pagoda
падал (от drop)|dropped
падать|fall, fell, fallen
падение доходности|drop-down
падение, спад, упадок, отклонять|decline
падение|falling
паек|ration
пакет акций контрольный|controlling block of shares
пакет акций|block of shares
пакет акций|shareholdings
пакет для покупок|shopping bag
пакт|pact
палата депутатов|chamber of deputies
палата общин (в Великобритании)|the Commons
палата, зал|chamber
палестинский|Palestinian
палец ноги|toe
палец руки|finger
палка, приставать|stick
паллет, поддон|pallet
палтус|halibut
палуба|deck
палубный груз|deck cargo
пальцы|fingers
памфлет|pamphlet
памятник|monument
памятники (от monument)|monuments
памятный|memorable
памятный|memorial
память|memory
панели|panels
паника|panic
Папа Римский|Pope
папа|dad
папайя|papaw
пар|steam
пара (два одинаковых предмета)|pair
параграф|paragraph
парадокс|paradox
параллельная юрисдикция|concurrent jurisdiction
параллельный|parallel
параметры|features
парафировать контракт|initial a contract
парашют|parachute
парень|lad
пари|wagering
парикмахер|barber
парикмахер|hairdresser
паритет|par
парк, парковать|park
парковать|to park
парламент|parliament
парламентарий|parliamentarian
парламентский закон|act of parliament
парламентский|parliamentary
паровой|steamed
пародия|travesty
паром|ferry-boat
пароходом|by water
пароходство|shipping company
партер, оркестр|orchestra
партер|stall
партии товара (от lot)|lots
партия (товара)|batch
партия груза на один вагон|carload
партия товара, много|lot
парфюмерия|perfumery
парфюмерия|perfumes
пасквилянт|lebeller
паспорт служебный|service passport
паспорт|passport
паспортный контроль|immigration examination
пассажир|passenger
пассажирский поезд|slow train
пассив, обязательства денежные|liabilities
пассивный баланс|adverse balance
пассивный партнер|limited partner
пастернак|parsnip
пастух|shepherd
патент, патентованный|patent
патент|brevet
патент-аналог|corresponding patent
патентная пошлина|patent fee
патентное бюро|patent office
патентное право|patent law
патентное право|patent right
патентование|patenting
патентодержатель|patentee
патентоспособный|patentable
патенты (от patent)|patents
патриарх|patriarch
патриотический|patriotic
патруль|patrol
пауза|pause
паук|spider
паушальная, общая сумма|lump-sum
пахать|plough
пачка|packet
паштет|pate
паэлья|paella
паяльная трубка|blow-pipe
пдниматься, просыпаться|awake, awoke, awaked
певец|singer
пекарь, булочник|baker
пел, спел (от sing)|sang
пена для бритья|shaving foam
пенитенциарная система|penal system
пенни|penny
пенс|pence
пенсионер|pensioner
пенсионный фонд|pension fund
пенсия по возрасту|old age pension
пенсия по старости|old-age pension
пенсия по старости|superannuation pension
пенсия|pension
пень|stump
пенящаяся жидкость для ванны|bath essence
пепельница|ashtray
первичное доказательство|best evidence
первичное завладение|original occupation
первичное право|original right
первичные документы|source documents
первичный|primary
первое блюдо|first course
первоначальная стоимость|historic cost
первоначально, прежде всего|primarily
первоначально|initially
первоначально|originally
первоначальное приобретение|original acquisition
первоначальный взнос|down payment
первоначальный изготовитель|original manufacturer
первоначальный приказ|original order
первоначальный|initial
первооткрыватель|discoverer
первоочередной долг|preferred debt
первосортный|prime
первый заявитель|locator
первый класс|first-class
первый помощник главного прокурора штата|first assistant attorney general
первый|first
Переадресация всех речевых вызовов|Divert All Voice
Переадресация вызова|Call Diverting
Переадресация передачи данных|Divert Data Calls
Переадресация по условию|Detailed Diverting
Переадресация речевых вызовов|Divert Voice Calls
Переадресация факсимильных вызовов|Divert Fax Calls
Переадресация, если недоступен|Divert When Unavailable
переадресование груза|readdressing of cargo
перевалка|transhipment
перевод (от translate)|translating
перевод валюты, пересчет валюты|conversion of currency
перевод|translation
переводить ... на|translate from ... into
переводить валюту|convert currency
переводить деньги|remit
переводить, объяснять|translate
переводной вексель|bill of exchange
переводный аккредитив|transferable letter of credit
переводный рубль|transferable rouble
переводоотправитель, ремитент|remitter
переводчик устный|interpreter
переводчик|language officer
переводы (от transfer)|transfers
перевоз|ferry
перевозить, передавать, сообщать|convey
перевозка груза|cargo carriage
перевозка контрабанды прямым путем|direct carriage of contraband
перевозка|carriage
перевозка|carrying
перевозки железнодорожные|rail transportation
перевозки на дальние расстояния|long-distance runs
перевозчик|carrier
перевоспитание несовершеннолетних преступников|rehabilitation of delinquents
переговоры (от talk)|talks
переговоры|negotiation
переговоры|negotiations
перегружать c одного судна на другое|tranship
перегружать|overload
перегруженный рынок|congested market
перед|in front of
передавал|turned over
передавать в субаренду|sublet
передавать документы|surrender documents
передавать на поруки|admit to bail
передавать по телевидению|televise
передавать полномочия|delegate responsibility
передавать что-л. кому-л.|pass ... on to ...
передавать, давать|give
передавать, пересылать|transmit
передаваться по наследству|descend
передал документы|surrendered documents
передал опеку|relinquished custody
передал, переданный|transmitted
переданный (от transfer)|transfered
передача безвозмездная|gratuitous transfer
передача владения|livery
передача имущества в порядке дарения|transfer by gift of property
передача имущества|cession of goods
передача на рассмотрение|referral
передача полномочий|delegation of authority
передача, передаточный|gear
передача, переносить|transfer
передача|broadcast
передача|devolution
передача|relegation
передача|transmission
передающий документы|surrendering documents
передвигаться с места на место|move about
передвигаться, переезжать|move
передвижение|getting
переднее стекло|windscreen
передние фары|headlight
передний план, передний|front
передний, передовой, лучший, радикальный|forward
передний|fore
передняя дверь|front door
передовой|foremost
пережаренный|overdone
пережареный|overcooked
пережить|survive
перезaгрузить|reload
перезапускать|restart
перезаряженный, перезарядил|recharged
перезвонить|to call back
переиздание|reprint
переименовать|rename
переключатель передач|gear shift
переключение, поворот, изменение|switch
Переключить вызовы|Switch
перекрестный допрос|cross-examination
перекресток (=crossroads)|intersection
перекресток (=intersection)|crossroads
перекрывать|overlap
перекусить|have a bite to eat
перемена, изменение, менять|change
переменные затраты|variable cost
перемещает|moves
перемещать, замещать|displace
перемещение; устранение, удаление; исключение|removal
перемещенный, переместил|shifted
перенаем|transfer of house
перенес|ported
перенесение рассмотрения дела в вышестоящий суд|advocation
перенесенный, перенес|transferred
перенос, перемещение|offsetting
переноска груза|porterage
переносной, портативный|portable
переоборудовать|re-equip
переоформление|redrafting
переоценивать|overestimate
переоценка|overvaluation
перепись жилого фонда|housing census
переплата|overpayment
переполнение|overhang
перепродавать|resell
перепродажа|resale
перепроизводство|overproduction
переработка|processing
перераспределение|redistribution
перераспределил, перераспределенный|reallocated
перерасход|overspending
перерасчет, пересчет|recalculation
перерыв в работе|recess
перерыв, отпуск, каникулы|vacation
перерыв, пауза|intermission
пересекать, скрещивать, противодействовать|cross
переселять в новые дома|rehouse
пересматривать|review
пересматривать|revise
пересмотр|revision
пересмотреть|reconsider
перестрахование|reinsurance
перестраховочная комиссия|overriding commission
пересылка|remittance
переустановить|reset
переучет, редисконт|rediscount
переход через улицу|crossing
переход|transition
переходить через|to cross
переходящий остаток|carryover
перец|pepper
перечень|enumeration
перечислять по пунктам|itemize
перечислять|enumerate
перечитать|reread
перечница|pepper shaker
перешвартовка|shifting of a vessel
период вменяемости|lucid interval
период времени, разница, небольшой участок|span
период окупаемости|payback period
периодическая пошлина|maintenance fee
периодическая система элементов Менделеева|Periodic Table
периодически|periodically
периодические взносы|instalments
периодический|periodic
периферийные устройства|peripherals
перочинный нож|pocket-knife
персик|peach
персики (от peach)|peaches
персиковый сок|peach juice
персонал исправительных учреждений|correction officers
персональные компьютеры|PCs
персональный компьютер|PC
персональный|personal
персонация|personation
перспектива, перспективный|perspective
перспектива|outlook
перспектива|prospect
перспективы|prospects
перфорирование|holed
перчатка|glove
перчатки (от glove)|gloves
пескарь|gudgeon
песня|song
песок|sand
пессимизм|pessimism
песчаная буря|sandstorm
песчаный|sandy
петиторный иск|droitural action
петиторный|petitory
петиция о праве|petition of right
петиция|petition
петля|loop
петрушка|parsley
петух|cock
петь|sing
петь|sing, sang, sung
пехота|infantry
печaтaет|prints
печально|sadly
печальный, неутешительный|disappointing
печальный, тоскливый|sad
печатная плата|printed-circuit
печатный материал, бандероли|printed matter
печатный|printed
печатный|typed
печать, печатать|print
печеночный паштет|liver pate
печеный картофель|baked potatoes
печень|liver
печенье (ам.)|cookie
печенье (ам.)|cookies
печенье (бр.)|biscuit
печенье (бр.)|biscuits
печь (глагол)|to bake
печь или жарить (мясо)|to roast
печь, плита|stove
пеший поход|hiking
пианист|pianist
пивной бар|pub
пиво|beer
пивоваренный завод|brewery
пиджак, пальто|coat
пиджак|jacket
пижама|pyjamas
пик, вершина|peak
пикап|pickup
пикет, пикетировать|picket
пикник|picnic
пилка для ногтей|nail file
пилот|pilot
пинта|pint
пират|buccaneer
пират|corsair
пирог с мясом|meat pie
пирог|pie
пирожное|pastry
пирожное|small cake
пирс, устой|pier
писал, написанный (от write)|wrote
писаное право|written law
писатель|writer
писать, записывать|write
писать|write, wrote, written
пистолет|pistol
письма (от letter)|letters
письменно подтверждающий|recording in writing
письменное доказательство|literal proof
письменное заключение адвоката|counsel's opinion
письменное показание|affidavit
письменное уведомление|written notification
письменные доказательства|written evidence
письменные объяснения|written pleadings
письменный договор|written contract
письменный, запись, ввод|writing
письменный, написанный|written
письмо с доплатой|unstamped letter
письмо|letter
питание|feeding
питание|supplies
питательный|nourishing
Питер (мужское имя)|Peter
пить|drink
пить|drink, drank, drunk
питье|drinking
пицца|pizza
пиццерия|pizza parlor
пища, еда, продовольствие|food
пиявка|leech
плавал (от swim)|swam
плавание|swimming
плавать|float
плавать|sail
плавать|swim
плавать|swim, swam, swum
плавки|trunks
плагиат|literary piracy
плазма|plasma
плакать, оплакивать|weep, wept, wept
пламя, сияние, пыл|flame
план деловой активности|business plan
план перспективный|long-term plan
план по маркетингу|marketing plan
планарный, плоскостной|planar
планета|planet
планировать|plan
планирующий, планирование (от plan)|planning
плановая экономика|planned economy
плановое снабжение|routine supply
плановый|planned
плантация|planting
планы (от plan)|plans
пластинки (от record)|records
пластичность|plasticity
пластмассовый|plastic
пластырь|plaster
плата за лишний вес багажа|excess luggage charge
плата за обслуживание|service charge
плата за стоянку в доке|dock dues
плата заработная|wage
платан|plane tree
платеж|paying
платеж|payment
платежеспособность, кредитоспособность|solvency
платежи|payments
платежная ведомость|payroll
платежные ведомости|payrolls
платежный баланс|balance of payments
плательщик неаккуратный|inaccurate payer
плательщик|payer
платил товарами|paid in kind
платил, оплаченный (от pay)|paid
платить водителю|to pay the driver
платить, зарплата|pay
платить|pay, paid, paid
платить|to pay
платный (от meter)|metered
платный|stipendiary
плато|plateau
платформа|platform
платье, одежда, одевать(ся)|dress
платяной шкаф|wardrobe
плащ, непромокаемое пальто|raincoat
плащ|raincoat
плащ|rain-coat
плеер компакт-дисков|CD player
плейер, игрок|player
племянник|nephew
племянница|niece
пленарное заседание|plenary session
пленум|plenum
плечо, толкать|shoulder
плита|slab
плов|pilaf
плодородный|fertile
плодотворный|fruitful
плоскогубцы|pliers
плотва|roach
плотник|carpenter
плотности|densities
плотность|density
плотный|close
плохо обращаться|ill-use
плохо себя чувствовать|be out of sorts
плохо себя чувствовать|to feel sick
плохо, неважно|poorly
плохо, худо, больной|ill
плохое законодательство|dysnomy
плохой, неблагоприятный, неудачный|bad
плохой|poor
площадка для проверок|check-out area
площадь, квадратный|square
плыть на корабле|to go by ship
плюс|plus
пляж|beach
по адресу, через|care of
по взаимному согласию|on mutual consent
по доверенности|by-procuration
по крайней мере|at least
по небрежности|by negligence
по образцу|per sample
по полномочию|by authority
по причине|due to
по причине|on the ground of
по пути, по дороге|on one's way
по своей юридической природе|in its legal nature
по сути, своему существу, в действительности|inherently
по существу|essentially
по существу|on merits
по телефону|by phone
по требованию|at call
по утверждению|allegedly
по факсу|by fax
по цене|at the price of
по электронной почте|by email
победа, выигрывающий|winning
победа|victory
победил, побежденный (от win)|won
победитель|gainer
победитель|winner
победить, выиграть|win
побеждать, выигрывать|win, won, won
побережье|seaside
побеспокоил (от trouble)|troubled
поблизости|nearby
побольше|larger
побочные обстоятельства|incidents
побочный продукт|by-product
побочный эффект|side-effect
побудительный мотив|impulsive cause
повар, кухарка, готовить пищу|cook
поведение, руководство|conduct
поведение, характер|behavior
поведение, характеристика|behaviour
поверхностно, бегло просматривать ( - through, over)|skim
поверхностно, на первый взгляд|superficially
поверхностный, эскизный, контурный|sketchy
поверхностный|superficial
поверхность|surface
повесить трубку|to hang up
повестка дня|agenda
повестка дня|business of the day
повестка дня|order of the day
повестка|service of summons
повесть, сказка, история|tale
повлеченный|incurred
повлиял|influenced
повод, мотив|motive
повозка, вагон, автомобиль|car
поворачивать, вращать, оборот, поворот, очередь|turn
поворачивать|bend, bent, bent
повреждение; порча, брак|spoilage
поврежденный|injured
повременная ставка зарплаты|time rate
повседневный, обычный|everyday
повстанец|rebel
повсюду, через|throughout
повторение|repetition
повторить|retry
повторное однородное преступление|habitual criminal act
повторный заказ|reorder
повторный отбор|reselection
повторный, вторичный; частый|recurring
повторять, суммировать|recapitulate
повторять|reiterate
повторять|repeat
повышать товарооборот|boost the sales
повышаться|go up
повышенный (от go up)|gone up
погашать в рассрочку|amortize
погашение обязательств|liquidation of obligations
погашение судимости|cancellation of a criminal record
погашение, возврат денег|repayment
погашение|paying off
погашенный давностью|barred by statue of limitations
погибающий|dying
погладить вещь|have a thing pressed
поглаженный, сжатый (от press)|pressed
поглощение|intake
погода|weather
погоня, охота|chase
пограничная станция|frontier station
пограничная таможня|border customhouse
пограничное государство|border state
пограничный пункт|border point
погреб|cellar
погружать|dip
погружаться|sink, sank, sank
погружение|sinking
погрузил, погруженный (от ship)|shipped
погрузка автоматическая|automatic loading
погрузка и разгрузка посредством лихтеров|lighterage
погрузка, отгрузочный|shipping
погрузка|loading
под ключ|turnkey
под расписку|against receipt
под, у, в, на|under
подавать (завтрак)|to serve
подавать апелляцию|lodge an appeal
подавать апелляцию|take appeal
подавать в отставку|tender resignation
подавать иск|lay an action
подавать прошение об отсрочке приговора|petition for reprieve
подавать рекламацию, претензию|complain
подавление|suppression
подавлять, уничтожать|depress
подавлять|suppress
подал прошение о помиловании|petitioned for pardon
подал прошение о смягчении наказания|petitioned for commutation
подал прошение об отсрочке приговора|petitioned for reprieve
поданые голоса|vote cast
подарки (от present)|presents
подарки|gifts
подарок, дар|gift
подарок, сувенир на память|keepsake
подать заявление|hand in a written application
подача (в игре с мячом)|innings
подача заказов партиями|batch ordering
подающий иск|laying an action
подающий, издающий|issuing
подающий|pitcher
подвал, полуподвальный этаж; цокольный этаж|basement
подвергать опасности|endanger
подвергать опасности|jeopardize
подвергать перекрестному допросу|cross-examine
подвергать сомнению|call in question
подвергать(ся) риску, затрагивать(ся)|engage
подвергаться, проходить|undergo
подвергаться|incur
подверженный, подлежащий|subject to
подвешивание|hanging
подвешивание|suspension
подвижный|mobile
подводная лодка|submarine
подводное плавание|skin diving
